"category","scope","item","part_id","specification","quantity","unit","supply","notes","source","download"
"Small fasteners & brass standoffs","Per camera","Underside M2.5 screws","","M2.5 × 6 mm","6","each","Per camera","Six M2.5 × 6 mm screws from the HELIFOUNER kit: four under the Pi mounts, two under the RTC mounts.","",""
"Small fasteners & brass standoffs","Per camera","RTC upper retaining fasteners","","M2.5 retaining hardware","2","mounting points","Per camera","Secure both RTC mounting holes with matching M2.5 retaining hardware from the brass standoff kit.","",""
"Small fasteners & brass standoffs","Per camera","Camera M2 screws","","M2","4","each","Per camera","Four M2 screws from the Kadrick kit. Select length to engage the nuts through the acrylic, spacers and PCB.","",""
"Small fasteners & brass standoffs","Per camera","Camera M2 nuts","","M2","4","each","Per camera","Four M2 retaining nuts, one per camera screw.","",""
"Small fasteners & brass standoffs","Per camera","Camera spacer nuts","","M2.5 nuts used as spacers","4","each","Per camera","Four M2.5 nuts used as camera spacers, not as the retaining nuts.","",""
"Small fasteners & brass standoffs","Per camera","Camera spacer washers","","M2 washers","4","each","Per camera","Four M2 washers, one at each camera mounting point.","",""
"Small fasteners & brass standoffs","Per camera","OLED M2 bolts","","M2","2","each","Per camera","Two M2 bolts from the Kadrick kit; select length for the PCB and 10 mm spacer assembly.","",""
"Power option A · solar field setup","Choose A or B · per camera","Voltaic CORE solar power system","K-P150-V102","50 W solar panel + 12 V, 18 Ah battery","1","kit","Per camera","Includes the panel bracket and integrated battery charge controller. Select the C304 output option listed below.","https://voltaicsystems.com/50-watt-core/",""
"Power option A · solar field setup","Choose A or B · per camera","Voltaic 12 V-to-5 V USB-C regulator","C304","M16 battery input → regulated USB-C output","1","set","Per camera","Connects the CORE battery to the Witty Pi USB-C input. Count once if supplied as the kit’s selected output option.","https://voltaicsystems.com/C304/",""
"Power option B · lighter battery setup","Choose A or B · per camera","Voltaic V75 USB battery pack","","V75 · USB-A Always On output","1","battery","Per camera","Use a USB-A Always On output and USB-A-to-USB-C cable to power Witty Pi.","https://voltaicsystems.com/v75",""
"Power option B · lighter battery setup","Choose A or B · per camera","USB-A-to-USB-C power cable","","V75 USB-A → Witty Pi USB-C","1","cable","Per camera","One installed cable. Use a suitable included cable if provided; otherwise supply one separately. Choose length for the mounting arrangement.","",""
"Field mounting","Per camera","T-post","","Ground-driven camera support","1","post","Per camera","Choose post length for the site and camera mounting height.","",""
"Field mounting","Per camera","Hose clamps","","Clamping range to suit stem plus T-post","2","clamps","Per camera","Two standard hose clamps from a local hardware store; choose a range that fits around the stem and T-post together.","",""
"Shared hardware assortments","Shared stock","HELIFOUNER M2.5 brass standoff / screw / nut kit","","242 pieces · M2.5","1","shared kit","Shared","M2.5 brass standoffs, screws and nuts. Includes M2.5 × 6 mm screws. Shared stock for the individual pieces above.","https://www.amazon.com/dp/B0B7SNCFF1",""
"Shared hardware assortments","Shared stock","Kadrick M2 screw / nut / washer kit","","660 pieces","1","shared kit","Shared","Shared stock for camera and OLED M2 screws, camera retaining nuts and washers.","https://www.walmart.com/ip/3571165561",""
"Shared setup & data transfer","Shared equipment","Linux laptop or desktop","","Ubuntu used by the lab","1","shared","Shared","A built-in microSD slot works directly; a full-size SD slot works with the card’s adapter.","",""
"Shared setup & data transfer","Shared equipment","USB-C microSD card reader / writer","","Adafruit 5212 · USB-C host port","1","if needed","Shared","Only needed if the computer has no suitable card slot.","https://www.adafruit.com/product/5212",""
"Shared setup & data transfer","Shared equipment","Samsung T7 Shield portable SSD","","2 TB","1","shared","Shared","Used for transferring camera data.","https://www.samsung.com/us/computing/memory-storage/portable-solid-state-drives/portable-ssd-t7-shield-usb-3-2-2tb-black-mu-pe2t0s-am/",""
"Shared setup & data transfer","Shared equipment","Ethernet cable","","Cat6 · choose suitable length","1","shared","Shared","The linked cable is 9 ft.","https://www.startech.com/en-us/cables/n6patch9yl",""
"Shared setup & data transfer","Shared equipment","HDMI-to-mini-HDMI cable","","Adafruit 2775 · 1.5 m example","1","shared","Shared","For the Pi Zero mini-HDMI output during local setup.","https://www.adafruit.com/product/2775",""
"Shared setup & data transfer","Shared equipment","SMAYS micro-USB hub with Ethernet adapter","","SMAYS B00L32UUJK","1","shared","Shared","Local setup / Ethernet connection to the Pi.","https://www.amazon.com/dp/B00L32UUJK",""
"Shared fabrication & assembly supplies","As needed","Hex key and small screwdrivers","","3 mm hex drive for 11-5308; bits matching small screws","1","shared set","As needed","Assembly of the extrusion and electronics hardware.","",""
"Shared fabrication & assembly supplies","As needed","Extrusion and acrylic cutting / deburring","","Cut six extrusion members; cut 3 mm acrylic to design DXFs","As needed","service or tools","As needed","Allow saw kerf and acrylic nesting waste. Fabrication can be outsourced.","",""
"Shared fabrication & assembly supplies","As needed","Enclosure drilling tools","","22 mm and 28 mm holes","1","shared set","As needed","Two lid ports and one side port; mounting datums are documented in the drawings.","",""
"Shared fabrication & assembly supplies","As needed","Soldering equipment and solder","","OLED cable termination","As needed","shared supplies","As needed","Includes wire stripping/cutting tools for the four soldered OLED leads.","",""
